sample_id,target_q1_rad,target_q2_rad,target_q3_rad,target_q4_rad,target_q5_rad,target_q6_rad,preview_valid
326,0,1.919862177,0.5235987756,-0.2617993878,0,1.047197551,1
327,0,1.919862177,0.5235987756,-0.2617993878,0.3490658504,1.047197551,1
328,0,1.919862177,0.5235987756,0,0.3490658504,1.047197551,1
329,0,1.919862177,0.5235987756,0.2617993878,0.3490658504,1.047197551,1
330,0,1.919862177,0.5235987756,0.2617993878,0,1.047197551,1
331,0,1.919862177,1.221730476,-0.2617993878,-0.3490658504,0.3490658504,1
332,0,1.919862177,1.221730476,0,-0.3490658504,0.3490658504,1
333,0,1.919862177,1.221730476,0.2617993878,-0.3490658504,0.3490658504,1
334,0,1.919862177,1.221730476,0,-0.3490658504,0,1
335,0,1.919862177,1.221730476,-0.2617993878,-0.3490658504,0,1
336,0,1.919862177,1.221730476,-0.2617993878,-0.3490658504,-0.3490658504,1
337,0,1.919862177,1.221730476,0,-0.3490658504,-0.3490658504,1
338,0,1.919862177,1.221730476,0.2617993878,-0.3490658504,-0.3490658504,1
339,0,1.919862177,1.221730476,0,0,-0.3490658504,1
340,0,1.919862177,1.221730476,-0.2617993878,0,-0.3490658504,1
341,0,1.919862177,1.221730476,-0.2617993878,0,0,1
342,0,1.919862177,1.221730476,0,0,0,1
343,0,1.919862177,1.221730476,0.2617993878,0,0,1
344,0,1.919862177,1.221730476,0,0,0.3490658504,1
345,0,1.919862177,1.221730476,-0.2617993878,0,0.3490658504,1
346,0,1.919862177,1.221730476,-0.2617993878,0.3490658504,0,1
347,0,1.919862177,1.221730476,0,0.3490658504,0,1
348,0,1.919862177,1.221730476,0.2617993878,0.3490658504,0,1
349,0,1.919862177,1.221730476,0,0.3490658504,-0.3490658504,1
350,0,1.919862177,1.221730476,-0.2617993878,0.3490658504,-0.3490658504,1
351,0,1.919862177,1.221730476,0.2617993878,0,-0.3490658504,1
352,0,1.919862177,1.221730476,0.2617993878,-0.3490658504,0,1
353,0,1.919862177,1.221730476,0.2617993878,0,0.3490658504,1
354,0,1.919862177,1.221730476,0,0.3490658504,0.3490658504,1
355,0,1.919862177,1.221730476,-0.2617993878,0.3490658504,0.3490658504,1
356,0,1.919862177,1.221730476,0.2617993878,0.3490658504,0.3490658504,1
357,0,1.919862177,1.221730476,0.7853981634,0,0,1
358,0,1.919862177,1.221730476,0.7853981634,-0.3490658504,-0.3490658504,1
359,0,1.919862177,1.221730476,0.7853981634,-0.3490658504,0,1
360,0,1.919862177,1.221730476,0.7853981634,-0.3490658504,0.3490658504,1
361,0,1.919862177,1.221730476,0.7853981634,0,0.3490658504,1
362,0,1.919862177,1.221730476,0.7853981634,0.3490658504,0,1
363,0,1.919862177,1.221730476,0.7853981634,0,-0.3490658504,1
364,0,1.919862177,1.221730476,0.7853981634,0.3490658504,-0.3490658504,1
365,0,1.919862177,1.221730476,0.2617993878,0.3490658504,-0.3490658504,1
366,0,1.919862177,1.221730476,-0.2617993878,0,-1.047197551,1
367,0,1.919862177,1.221730476,0,0,-1.047197551,1
368,0,1.919862177,1.221730476,0.2617993878,0,-1.047197551,1
369,0,1.919862177,1.221730476,0,-0.3490658504,-1.047197551,1
